Company Name,Symbol,Market Cap,EPS Forecast,EPS,Time,Fiscal Quarter Ending,No. of ESTs,Surprise,Scraped At
Jones Lang LaSalle Incorporated,JLL,"$13,412,132,631",$5.79,time-pre-market,Dec/2024,5,$4.23,2025-02-19 05:18:14
POSCO HOLDINGS INC.,PKX,"$12,965,726,252",,time-not-supplied,Dec/2024,N/A,($0.52),2025-02-19 05:18:14
Wix.com Ltd.,WIX,"$12,789,509,501",$0.63,time-pre-market,Dec/2024,6,$0.26,2025-02-19 05:18:14
"Klaviyo, Inc.",KVYO,"$12,672,779,153",($0.06),time-after-hours,Dec/2024,4,($0.06),2025-02-19 05:18:14
"Clean Harbors, Inc.",CLH,"$12,384,935,887",$1.34,time-pre-market,Dec/2024,5,$1.82,2025-02-19 05:18:14
BioMarin Pharmaceutical Inc.,BMRN,"$12,359,308,587",$0.55,time-after-hours,Dec/2024,11,$0.26,2025-02-19 05:18:14
Nordson Corporation,NDSN,"$12,339,408,346",$2.08,time-after-hours,Jan/2025,4,$2.21,2025-02-19 05:18:14
"Host Hotels & Resorts, Inc.",HST,"$11,457,089,800",$0.40,time-after-hours,Dec/2024,9,$0.44,2025-02-19 05:18:14
TFI International Inc.,TFII,"$10,908,902,038",$1.59,time-after-hours,Dec/2024,7,$1.71,2025-02-19 05:18:14
Global-E Online Ltd.,GLBE,"$10,417,232,755",($0.01),time-pre-market,Dec/2024,5,($0.13),2025-02-19 05:18:14
BanColombia S.A.,CIB,"$9,788,994,292",$1.43,time-after-hours,Dec/2024,3,$1.58,2025-02-19 05:18:14
Alamos Gold Inc.,AGI,"$9,359,703,795",$0.21,time-after-hours,Dec/2024,4,$0.12,2025-02-19 05:18:14
Exact Sciences Corporation,EXAS,"$9,126,112,007",($0.31),time-after-hours,Dec/2024,6,($0.27),2025-02-19 05:18:14
"Churchill Downs, Incorporated",CHDN,"$8,974,687,043",$0.93,time-after-hours,Dec/2024,9,$0.86,2025-02-19 05:18:14
Pan American Silver Corp.,PAAS,"$8,914,202,400",$0.35,time-after-hours,Dec/2024,8,($0.04),2025-02-19 05:18:14
Wingstop Inc.,WING,"$8,900,690,811",$0.86,time-pre-market,Dec/2024,8,$0.64,2025-02-19 05:18:14
"StandardAero, Inc.",SARO,"$8,889,990,125",$0.16,time-not-supplied,Dec/2024,10,N/A,2025-02-19 05:18:14
OGE Energy Corp,OGE,"$8,747,261,172",$0.48,time-pre-market,Dec/2024,3,$0.24,2025-02-19 05:18:14
"Gildan Activewear, Inc.",GIL,"$8,284,999,166",$0.80,time-pre-market,Dec/2024,3,$0.75,2025-02-19 05:18:14
Louisiana-Pacific Corporation,LPX,"$7,891,968,758",$0.79,time-pre-market,Dec/2024,4,$0.71,2025-02-19 05:18:14
Parsons Corporation,PSN,"$7,800,713,653",$0.85,time-pre-market,Dec/2024,4,$0.60,2025-02-19 05:18:14
